Position_X1,Position_Y1,Position_X2,Position_Y2,Position_X3,Position_Y3,Velocity_X1,Velocity_Y1,Velocity_X2,Velocity_Y2,Velocity_X3,Velocity_Y3,Momentum_X1,Momentum_Y1,Momentum_X2,Momentum_Y2,Momentum_X3,Momentum_Y3
99509897592.12708,16174132249.432295,-99999998516.83238,-16199999904.889029,10485236186.888647,149527851013.39783,-1772.4930749223174,29859.77254702256,0.005362882807418505,-29999.9995175429,18891.599611876336,-1662.612933811913,-1.058532864343608e+28,1.7832256165081874e+29,1.0666773903955404e+28,-5.966999904039282e+34,1.3881547394806732e+27,-1.2216879837649937e+26
99491851901.18591,16472677925.70828,-99999998462.23361,-16499999899.897894,10673966571.468222,149510946464.17212,-1804.569094116553,29854.567627598495,0.005459877206723649,-29999.999500886486,18873.03845795749,-1690.4549225713195,-1.0776886630064056e+28,1.7829147787201823e+29,1.0859695764173336e+28,-5.966999900726321e+34,1.3867908658907164e+27,-1.2421462771054056e+26
99473485854.51956,16771170652.540134,-99999998406.66614,-16799999894.737526,10862511977.015831,149493764443.80753,-1836.6046666353552,29849.27268318544,0.005556747827643289,-29999.999483963275,18854.540554761003,-1718.20203646051,-1.0968203069146341e+28,1.7825985646398348e+29,1.1052371429182502e+28,-5.966999897360295e+34,1.3854316399638383e+27,-1.2625348563911827e+26
99454799863.1799,17069609533.049109,-99999998350.13121,-17099999889.405268,11050873032.196001,149476305895.28857,-1868.5991339655527,29843.888050897494,0.005653492707178676,-29999.999466774258,18836.105518017037,-1745.8548518936382,-1.115927402804228e+28,1.7822769943995985e+29,1.1244796994578387e+28,-5.9669998939414e+34,1.3840770334638918e+27,-1.2828541451714453e+26
99435794344.76028,17367993673.777225,-99999998292.63011,-17399999883.89847,11239050361.863945,149458571755.8858,-1900.5518419617554,29838.414072811567,0.005750109895322044,-29999.999449320443,18817.732966794454,-1773.413940276912,-1.1350095600195604e+28,1.7819500884283067e+29,1.1436968581795544e+28,-5.966999890469836e+34,1.3827270184000563e+27,-1.3031045633154749e+26
99416469723.35126,17666322184.736313,-99999998234.16414,-17699999878.2145,11427044587.098576,149440562957.20514,-1932.462140903388,29832.851095908718,0.005846597455229241,-29999.99943160285,18799.422523463145,-1800.879868065093,-1.1540663905475035e+28,1.7816178674476686e+29,1.162888233845096e+28,-5.966999886945807e+34,1.3813815670240718e+27,-1.3232865270542303e+26
99396826429.49576,17964594179.456463,-99999998174.7346,-17999999872.350727,11614856325.235144,149422280425.23697,-1964.3293855506738,29827.199472014865,0.0059429534633891985,-29999.999413622514,18781.17381365688,-1828.2531968172111,-1.1730975090508625e+28,1.781280352468728e+29,1.1820534438681115e+28,-5.966999883369518e+34,1.3800406518275073e+27,-1.3434004490212866e+26
99376864900.14377,18262808775.03387,-99999998114.34285,-18299999866.30453,11802486189.89751,149403725080.40445,-1996.15293519956,29821.459557740858,0.006039176009790196,-29999.999395380484,18762.986466236685,-1855.5344832515095,-1.1921025329011773e+28,1.780937564788284e+29,1.20119210834727e+28,-5.966999879741178e+34,1.3787042455390717e+27,-1.3634467382932092e+26
99356585578.60641,18560965092.17809,-99999998052.99022,-18599999860.07331,11989934791.030058,149384897837.61145,-2027.9321537355756,29815.631714421976,0.006135263198082905,-29999.999376877826,18744.860113254734,-1882.7242792996328,-1.2110810822108858e+28,1.7805895259852806e+29,1.2203038500986898e+28,-5.966999876060999e+34,1.3773723211219578e+27,-1.3834258004293701e+26
99335988914.50955,18859062255.25866,-99999997990.67809,-18899999853.65447,12177202734.929245,149365799606.28986,-2059.6664096866148,29809.716308056843,0.006231213145740189,-29999.99935811562,18726.794389918687,-1909.8231321600692,-1.2300327798648464e+28,1.7802362579171548e+29,1.2393882946877235e+28,-5.966999872329196e+34,1.376044851771225e+27,-1.4033380375112188e+26
99315075363.74681,19157099392.351116,-99999997927.40785,-19199999847.045418,12364290624.27481,149346431290.44635,-2091.355076274637,29803.71370924579,0.006327023984213631,-29999.999339094957,18708.78893455658,-1936.8315843508597,-1.2489572515512135e+28,1.7798777827161586e+29,1.258445070460091e+28,-5.966999868545987e+34,1.3747218109112177e+27,-1.4231838481810116e+26
99293845388.43214,19455075635.282402,-99999997863.18091,-19499999840.243587,12551199058.160633,149326793788.70874,-2122.997531466279,29797.62429312867,0.006422693859086775,-29999.999319816943,18690.84338858216,-1963.7501737615867,-1.2678541257916617e+28,1.7795141227856443e+29,1.2774738085723594e+28,-5.96699986471159e+34,1.3734031721930172e+27,-1.4429636276800139e+26
99272299456.85191,19752990119.675625,-99999997797.9987,-19799999833.246414,12737928632.12524,149306887994.3717,-2154.5931580223673,29791.448439322165,0.006518220930225059,-29999.9993002827,18672.957396460693,-1990.5794337046532,-1.286723033970958e+28,1.77914530079632e+29,1.2964741430217643e+28,-5.966999860826229e+34,1.3720889094919317e+27,-1.4626777678861791e+26
